"","ID","lat","lon","ele","time","magvar","geoidheight","name","cmt","desc","src","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","Proximity","Temperature","Depth","DisplayMode","Samples","Expiration","CreationTime"
"49",6,41.278925,-119.892766,2198.735596,"2022-06-05T22:37:57Z",NA,NA,"MAHOGCAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T22:37:57Z"
"50",7,41.27940604,-119.892369,2209.881836,"2022-06-05T22:48:00Z",NA,NA,"MAHOGCAM4",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T22:48:00Z"
"51",8,41.26462899,-119.880289,1981.924438,"2022-06-06T01:26:27Z",NA,NA,"UIS11",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:26:27Z"
"52",9,41.267032,-119.885846,2003.047974,"2022-06-06T01:55:13Z",NA,NA,"UIS16",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:55:13Z"
"53",10,41.26558696,-119.882373,1987.453491,"2022-06-06T01:36:54Z",NA,NA,"UISCAM10",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:36:54Z"
"54",11,41.264414,-119.880136,1985.051636,"2022-06-06T01:25:23Z",NA,NA,"UISCAM12",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:25:23Z"
"55",12,41.26630403,-119.883649,1991.717896,"2022-06-06T01:41:26Z",NA,NA,"UISCAM14",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:41:26Z"
"56",13,41.26699998,-119.884557,1999.416138,"2022-06-06T01:48:47Z",NA,NA,"UISCAM15",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:48:47Z"
"57",14,41.26633001,-119.882769,1991.136719,"2022-06-06T00:48:47Z",NA,NA,"UISCAM7",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T00:48:47Z"
"58",15,41.26592299,-119.882439,1989.739868,"2022-06-06T00:50:27Z",NA,NA,"UISCAM8",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T00:50:27Z"
"59",16,41.26601997,-119.883501,1994.299805,"2022-06-06T00:29:42Z",NA,NA,"UISTRI",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T00:29:42Z"
"60",17,41.26993901,-119.88732,2061.552979,"2022-06-05T23:36:24Z",NA,NA,"UIU CAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T23:36:24Z"
"61",18,41.26987698,-119.887509,2056.750977,"2022-06-05T23:38:17Z",NA,NA,"UIUCAM2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T23:38:17Z"
"62",19,41.269721,-119.888273,2054.196533,"2022-06-05T23:54:05Z",NA,NA,"UIUCAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T23:54:05Z"
"63",20,41.269535,-119.888864,2062.842773,"2022-06-06T00:05:59Z",NA,NA,"UIUCAM4",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T00:05:59Z"
"64",21,41.26941799,-119.889352,2061.23999,"2022-06-06T00:07:46Z",NA,NA,"UIUCAM5",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T00:07:46Z"
"65",22,41.26984497,-119.887768,2058.942871,"2022-06-05T23:42:42Z",NA,NA,"UIUCAMTRI",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T23:42:42Z"
"66",23,41.26429296,-119.879781,1983.362915,"2022-06-06T01:24:26Z",NA,NA,"UNR13",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-06T01:24:26Z"
"67",24,41.26699604,-119.883884,2053.40625,"2021-09-07T22:51:30Z",NA,NA,"UPPERINDIAN",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2021-09-07T22:51:30Z"
